mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-1.884291,-9.453953,-13.9351845,-13.825165,-16.132717,-19.645859,-17.165327,-22.568125,-24.988888,-25.216984,-24.42519,-28.690796,-32.321762,0.060563001884530336,7.5373291015625e-05,0.04867413217077553,0.00010028631591796875,0.7954043472106017,0.000214448226928711
-1.3084285,-8.73753,-12.729916,-11.786987,-13.498926,-17.315872,-14.778444,-20.633556,-23.202892,-24.157413,-22.955973,-27.2799,-31.334085,0.05953796509043095,7.114038085937502e-05,0.048996740115972895,0.00010978684997558592,0.7935741319839638,0.00017344468688964843
-2.714725,-5.9232044,-9.685492,-9.386556,-11.956945,-15.816418,-12.111248,-17.363377,-19.677399,-21.395514,-19.786016,-23.791403,-27.967018,0.05971965143550425,6.6974853515625e-05,0.04935311520531151,9.105200195312502e-05,0.7947773018101714,0.00014273681640625003
-1.6163867,-5.1035447,-9.609999,-8.827262,-11.229772,-14.700722,-10.806671,-16.43567,-18.80407,-20.703136,-18.89793,-23.649982,-27.843754,0.06005940357685724,7.570848083496093e-05,0.04892677534543969,9.807196044921876e-05,0.7944683422889889,0.0002538047943115234
-2.6520498,-5.3311844,-9.454242,-8.906212,-11.698572,-15.031165,-11.648481,-17.178617,-19.672451,-21.576283,-19.98865,-24.637642,-28.94668,0.05932640898229367,7.998358154296875e-05,0.04923192408014146,0.00011415391540527342,0.7957125118340529,7.088499450683594e-05
-1.8203684,-6.5631895,-9.906906,-9.715971,-12.572239,-16.126436,-12.909818,-17.860813,-20.069317,-22.284698,-20.922298,-25.208542,-29.38151,0.059141450621713915,7.637518310546876e-05,0.049640123344962844,8.91025390625e-05,0.7936811666604692,9.535386657714845e-05
-1.6174722,-7.3983145,-11.624472,-10.9036255,-13.740435,-17.498074,-14.413565,-19.320679,-21.882862,-23.60112,-21.921013,-26.404486,-30.520248,0.05905741028830283,6.049851989746095e-05,0.048882469757668495,9.673211669921875e-05,0.793837924202632,7.757415771484373e-05
-2.3170347,-9.038531,-12.400282,-12.211655,-14.924257,-18.506367,-15.089642,-20.411362,-23.866531,-24.730707,-22.916622,-27.841301,-31.942848,0.05991721482041649,5.772056579589844e-05,0.04990928049267866,0.00010598748779296875,0.7950759314017347,0.00010210374450683595
-1.307468,-8.3971405,-12.711317,-11.397538,-14.151737,-18.417257,-14.443609,-19.97886,-22.554129,-24.583477,-22.608246,-27.12392,-30.962456,0.05958561535002072,6.667938232421876e-05,0.04858392057941791,0.00011045152282714845,0.7941770351035955,0.00011987152099609374
-1.6622429,-8.276924,-11.960483,-11.236866,-13.921627,-17.834465,-14.435337,-20.11966,-22.534489,-24.55093,-22.434881,-27.117254,-31.276125,0.05916286115989489,5.7855224609375005e-05,0.048730057770060536,9.418296813964843e-05,0.7944310427989929,0.00010765916442871094
-1.2588601,-7.7768445,-11.61957,-12.197081,-14.9428425,-18.339815,-15.076929,-20.739727,-23.576733,-24.889908,-22.962528,-27.544827,-31.583809,0.05820522227764984,5.549188232421875e-05,0.048666921397200066,0.00011815283203125,0.7946137782083537,0.00012494200134277345
-1.2400022,-7.8730316,-10.65767,-10.665981,-13.5598545,-17.49616,-13.64098,-19.732035,-22.799015,-24.388447,-21.92352,-26.355106,-30.785427,0.06001734165079394,7.112207031249999e-05,0.04890431555679033,0.00011902441406250002,0.7938227198172441,0.00011544799804687497
-1.4389408,-8.282312,-11.67771,-12.090524,-14.819737,-18.797798,-15.797515,-21.374218,-23.720154,-25.150764,-22.916424,-27.622536,-31.796272,0.05942445000830098,5.4412460327148436e-05,0.04887201152748051,9.757981872558593e-05,0.7929189966688402,0.00012551744079589844
