X,Y,Z
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.015625,-0.01171875,-0.015625
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.03515625,0.05078125,-0.58203125
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.08203125,0.0078125,-0.38671875
1.03125,0.0078125,-0.59765625
1.03125,0.0078125,-0.59765625
1.03125,0.0078125,-0.59765625
1.03125,0.0078125,-0.59765625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
1.03125,-0.0390625,-0.00390625
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
0.97265625,0.0390625,-0.0703125
1.07421875,-0.015625,-0.50390625
1.07421875,-0.015625,-0.50390625
1.07421875,-0.015625,-0.50390625
1.07421875,-0.015625,-0.50390625
1.07421875,-0.015625,-0.50390625
1.07421875,-0.015625,-0.50390625
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.03125,-0.01953125,-0.34375
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.0390625,0.00390625,-0.3046875
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.02734375,0.015625,0.06640625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0625,0.01171875,-0.2890625
1.0703125,0.0,-0.2109375
1.0703125,0.0,-0.2109375
1.0703125,0.0,-0.2109375
